Player,Goals,Years,Country,BirthPlace,CountryOfBirth,Latitude,Longitude
Miroslav Klose,16,2002-2006-2010-2014,Germany,Opole,,0.0,0.0
Ronaldo,15,1998-2002-2006,Brazil,Rio de Janeiro,,0.0,0.0
Gerd Muller,14,1970-1974,Germany,Nördlingen,,0.0,0.0
Just Fontaine,13,1958,France,Marrakech,,0.0,0.0
Pele,12,1958-1962-1966-1970,Brazil,Três Corações,,0.0,0.0
Kylian Mbappe,12,2018-2022,France,Paris,,0.0,0.0
Jurgen Klinsmann,11,1990-1994-1998,Germany,Göppingen,,0.0,0.0
Sandor Kocsis,11,1954,Hungary,Budapest,,0.0,0.0
Gabriel Batistuta,10,1994-1998-2002,Argentina,Santa Fe Province,,0.0,0.0
Gary Lineker,10,1986-1990,England,Leicester,,0.0,0.0
Thomas Muller,10,2010-2014,Germany,Weilheim in Oberbayern,,0.0,0.0
Helmut Rahn,10,1954-1958,Germany,Essen,,0.0,0.0
Teofilo Cubillas,10,1970-1978-1982,Peru,Lima,,0.0,0.0
Grzegorz Lato,10,1974-1978-1982,Poland,Malbork,,0.0,0.0
Ademir,9,1950,Brazil,Recife,,0.0,0.0
Jairzinho,9,1966-1970-1974,Brazil,Rio de Janeiro,,0.0,0.0
Vava,9,1958-1962,Brazil,Recife,,0.0,0.0
Karl Heinz Rummenigge,9,1978-1982-1986,Germany,Lippstadt,,0.0,0.0
Uwe Seeler,9,1958-1962-1966-1970,Germany,Hamburg,,0.0,0.0
Roberto Baggio,9,1990-1994-1998,Italy,Caldogno,,0.0,0.0
Paolo Rossi,9,1978-1982,Italy,Prato,,0.0,0.0
Christian Vieri,9,1998-2002,Italy,Bologna,,0.0,0.0
Eusebio,9,1966,Portugal,Maputo,,0.0,0.0
David Villa,9,2006-2010-2014,Spain,Langreo,,0.0,0.0
Diego Maradona,8,1982-1986-1990-1994,Argentina,Lanús,,0.0,0.0
Guillermo Stabile,8,1930,Argentina,Buenos Aires,,0.0,0.0
Leonidas,8,1934-1938,Brazil,Rio De Janeiro,,0.0,0.0
Rivaldo,8,1998-2002,Brazil,Recife,,0.0,0.0
Rudi Voller,8,1986-1990-1994,Germany,Hanau,,0.0,0.0
Oscar Miguez,8,1950-1954,Uruguay,Uruguay,,0.0,0.0
Neymar,8,2014-2018-2022,Brazil,Mogi das Cruzes,,0.0,0.0
Harry Kane,8,2018-2022,England,Walthamstow,,0.0,0.0
